date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,new_cases,new_deaths,reproduction_rate,new_tests,positive_rate,tests_per_case,stringency_index
2020-02-15,8.0,5.0,7.0,12.0,5.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-16,1.0,-1.0,-2.0,5.0,6.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-17,1.0,0.0,8.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-18,0.0,-2.0,9.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-19,-4.0,-8.0,7.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-20,-3.0,-5.0,5.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-21,1.0,-2.0,3.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-22,4.0,3.0,11.0,16.0,3.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-23,0.0,-2.0,2.0,5.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-24,-4.0,-5.0,6.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-25,-2.0,-3.0,8.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26,3.0,-1.0,2.0,7.0,2.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-27,-1.0,-1.0,0.0,9.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-28,3.0,-3.0,10.0,9.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-29,-3.0,-5.0,7.0,3.0,-10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,-4.0,-1.0,-5.0,14.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-02,-4.0,-1.0,2.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-03,-2.0,0.0,2.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
